Number,Name,n_sec,Sectors,P_h,sigma_P,Amp,Shape,U,Cls,Prior,PriorSrc,Sid
1053,Vigdis,3,"22,72,91",1.832,0.0029,0.34,1P,2,HR,3.6641,Ďurech+2022a,
1285,Julietta,2,"42,91",15.24,0.21,0.08,1P,2,HR,20.3,LCDB,
1381,Danubia,5,"27,44,45,46,47",5.258,0.022,0.59,2P,2,C,5.2578,Cellino+2024;Lam+2023;Ďu,
1519,Kajaani,3,"42,60,91",27.35,0.77,0.39,1P,2,FD,,,
1588,Descamisada,1,27,4.606,0.054,0.81,2P,2,C,4.6068,Cellino+2024;Hung+2022;L,
1887,Virton,3,"21,37,70",70.18,3.9,0.33,2P,2,C,70.17,Ďurech+2022a,sid
2024,McLaughlin,2,"70,71",167.52,23.0,,2P,2,S,1.15,LCDB,
2092,Sumiana,2,"72,91",30.49,0.77,0.41,2P,2,C,30.521,Ďurech+2022a,sid
2116,Mtskheta,1,42,3.5381,0.01,0.23,2P,2,C,3.5081,Lam+2023,
2122,Pyatiletka,2,"70,71",8.9016,0.068,,2P,2,C,8.9003,Waszczak+2015;Ďurech+202,
2300,Stebbins,3,"44,45,46",2.143,0.004,0.3,1P,2,HR,4.2805,Lam+2023;Ďurech+2022a,
2350,von,2,"45,46",3.016,0.0074,0.19,1P,2,FD,,,
2451,Dollfus,3,"42,43,92",138.364,16.0,0.55,2P,2,S,3.2913,Lam+2023,
2538,Vanderlinden,2,"42,43",53.422,2.3,0.38,2P,2,C,53.4115,Eglitis&Svincicka2025;Sv,
2553,Viljev,1,49,5.374,0.032,0.2,1P,2,HR,10.748,Cellino+2024;Lam+2023;Ďu,
2690,Ristiina,6,"30,44,45,46,92,96",2.66,0.0056,,1P,2,HR,5.3197,Ďurech&Hanuš2023;Ďurech+,
2711,Aleksandrov,3,"30,45,46",32.44,0.82,0.21,1P,2,FD,,,
2724,Orlov,1,70,6.898,0.04,0.24,1P,2,FD,,,
2736,Ops,4,"42,43,62,81",9.38,0.071,0.17,1P,2,S,10.7,LCDB,
2810,Lev,2,"83,99",1.525,0.0039,0.2,1P,2,FD,,,
2828,Iku-Turso,3,"42,43,44",3.803,0.012,0.18,2P,2,FD,,,
2863,Ben,4,"43,44,72,91",5.251,0.023,0.52,1P,2,FD,,,
2866,Hardy,2,"42,43",130.77,14.0,,2P,2,FD,,,
2869,Nepryadva,2,"18,70",310.468,80.0,0.65,2P,2,C,311.3,LCDB,
2909,Hoshi-no-ie,2,"72,91",312.07,76.0,0.52,2P,2,C,311.3,Hanuš+2021,sid
2967,Vladisvyat,4,"23,38,70,71",8.374,0.055,0.62,2P,2,FD,,,
3071,Nesterov,2,"42,91",5.14,0.03,0.55,1P,2,HR,10.2781,Cellino+2024;Ďurech&Hanu,
3158,Anga,2,"42,43",10.328,0.087,0.47,2P,2,C,10.322,Hanuš+2021;Lam+2023;Ďure,
3168,Lomnicky,3,"42,43,60",3.237,0.0087,0.23,1P,2,FD,,,
3184,Raab,2,"50,68",33.46,0.89,0.48,1P,2,A,170.8675,Cellino+2024;Waszczak+20,
3208,Lunn,3,"42,72,91",7.472,0.049,0.14,1P,2,FD,,,
3246,Bidstrup,2,"35,51",3.592,0.011,0.27,1P,2,S,5.8007,Lam+2023,
3278,Behounek,2,"71,72",5.621,0.027,0.24,1P,2,HR,11.2434,Ďurech&Hanuš2023,
3396,Muazzez,4,"27,42,43,44",61.963,3.2,0.1,1P,2,FD,,,
3405,Daiwensai,3,"35,71,88",13.997,0.16,0.1,2P,2,C,14.0082,Ďurech&Hanuš2023;Ďurech+,
3469,Bulgakov,1,35,180.875,28.0,0.86,2P,2,C,180.76,Ďurech+2020;Ďurech+2022a,
3477,Kazbegi,2,"70,71",4.2,0.016,0.21,1P,2,FD,,,
3532,Tracie,4,"27,42,43,92",12.316,0.12,0.08,1P,2,FD,,,
3545,Gaffey,2,"45,46",2.416,0.0053,0.32,1P,2,FD,,,
3594,Scotti,2,"42,60",2.304,0.0043,0.25,1P,2,FD,,,
3630,Lubomir,2,"42,43",9.329,0.074,0.38,2P,2,FD,,,
3707,Schroter,2,"9,61",15.295,0.24,0.34,1P,2,HR,30.5078,McNeill+2023,
3774,Megumi,2,"56,89",3.5724,0.0094,0.16,2P,2,C,3.5724,Ďurech+2022a,
3810,Aoraki,3,"10,45,46",3.857,0.012,0.32,1P,2,HR,18.7615,McNeill+2023;Pál+2020;Va,
3828,Hoshino,2,"46,81",3.3204,0.011,0.15,2P,2,C,3.3208,Cellino+2024;Lam+2023;Ďu,
3840,Mimistrobell,1,27,22.549,0.94,0.33,1P,2,A,43.4368,Cellino+2024;Lam+2023,
3852,Glennford,2,"70,71",5.798,0.028,,2P,2,C,5.7979,Ďurech&Hanuš2023,
3858,Dorchester,2,"20,37",7.088,0.042,0.41,2P,2,FD,,,
3949,Mach,2,"42,43",3.622,0.013,0.22,2P,2,FD,,,
3993,Sorm,2,"43,44",34.468,1.0,0.48,2P,2,A,18.994,Lam+2023;Ďurech+2022a,
4062,Schiaparelli,2,"42,43",34.221,1.0,0.28,1P,2,FD,,,
4088,Baggesen,2,"92,94",6.454,0.033,,2P,2,C,6.4527,Lam+2023;Ďurech&Hanuš202,
4118,Sveta,2,"18,84",4.367,0.017,0.14,1P,2,FD,,,
4253,Marker,2,"17,70",2.296,0.015,0.15,1P,2,FD,,,
4260,Yanai,2,"42,43",29.24,0.75,0.14,1P,2,FD,,,
4597,Consolmagno,2,"27,44",4.44,0.017,0.18,1P,2,FD,,,
4698,Jizera,3,"70,71,91",158.302,23.0,0.75,2P,2,C,158.54,Hanuš+2021,
4763,Ride,2,"45,46",45.7,1.7,0.3,1P,2,HR,91.188,Cellino+2024,
5051,Ralph,3,"18,35,91",7.2598,0.041,0.11,1P,2,FD,,,
5074,Goetzoertel,2,"57,72",6.331,0.035,0.43,1P,2,HR,12.6635,Cellino+2024;Ďurech&Hanu,
5091,Isakovskij,1,70,13.914,0.2,0.46,2P,2,C,13.9147,Chang+2016;Ďurech&Hanuš2,
5162,Piemonte,3,"71,72,91",12.756,0.13,0.43,2P,2,C,12.7527,Cellino+2024;Ďurech&Hanu,
5167,Joeharms,4,"42,43,60,96",2.6597,0.0058,,1P,2,FD,,,
5185,Alerossi,3,"42,43,62",102.3,8.6,0.41,1P,2,HR,204.1,Ďurech+2022a,
5203,Pavarotti,3,"42,43,44",6.934,0.045,0.92,2P,2,C,6.932,Cellino+2024;Hanuš+2021;,
5225,Loral,3,"42,43,44",71.266,4.8,0.89,2P,2,C,71.129,Ďurech+2022a,
5278,Polly,4,"35,55,72,92",4.996,0.02,1.0,2P,2,FD,,,
5297,Schinkel,2,"43,44",53.46,2.5,0.26,1P,2,S*,69.471,Cellino+2024,
5463,Danwelcher,2,"92,94",60.07,2.8,0.45,2P,2,FD,,,
5465,Chumakov,2,"42,43",3.218,0.0088,,2P,2,C,3.209,Cellino+2024,
5480,1989 YK8,3,"42,72,91",23.11,0.46,0.36,2P,2,HR,11.5392,Lam+2023,
5504,Lanzerotti,2,"28,44",13.952,0.16,0.2,1P,2,FD,,,
5576,Albanese,3,"20,70,71",12.094,0.12,0.14,1P,2,FD,,,
5768,Pittich,2,"37,55",8.14,0.055,0.71,2P,2,C,8.1409,Lam+2023;Ďurech&Hanuš202,
5793,Ringuelet,2,"70,71",3.0396,0.0077,0.18,2P,2,C,3.0385,Ďurech+2022a,
5805,Glasgow,2,"57,72",5.185,0.02,0.79,2P,2,C,5.1847,Cellino+2024;Ďurech&Hanu,
5809,Kulibin,1,42,4.182,0.053,0.28,2P,2,C,4.1833,Ďurech&Hanuš2023,
5975,Otakemayumi,2,"28,64",12.262,0.12,0.16,2P,2,C,12.2648,Cellino+2024;Ďurech&Hanu,
5977,1992 TH1,1,81,42.44,1.5,,2P,2,C,42.4695,Ďurech+2022a;Hanuš+2021,
6079,Gerokurat,4,"20,36,70,85",15.696,0.21,0.34,1P,2,HR,31.435,Cellino+2024;Lam+2023;Ďu,sid
6343,1993 VK,3,"11,43,44",14.117,0.17,0.1,1P,2,S,733.8578,McNeill+2023,
6658,Akiraabe,3,"51,70,71",2.665,0.0058,0.47,1P,2,HR,5.3304,Ďurech+2022a,
6782,1990 SU10,2,"70,71",3.927,0.013,0.17,1P,2,FD,,,
6808,Plantin,2,"42,43",7.996,0.054,0.36,2P,2,S,5.82,LCDB,
6978,Hironaka,2,"38,91",4.634,0.019,0.48,2P,2,C,4.6338,Cellino+2024;Ďurech&Hanu,
7056,Kierkegaard,2,"22,91",61.906,3.2,0.6,2P,2,C,61.95,Ďurech&Hanuš2023,sid
7068,Minowa,2,"29,49",144.992,20.0,0.57,2P,2,HR,73.6949,Lam+2023;Ďurech+2022a,
7605,Cindygraber,2,"20,36",11.9368,0.11,0.62,2P,2,FD,,,
7607,Billmerline,1,70,38.774,1.3,0.57,2P,2,FD,,,
7612,1996 CN2,1,91,13.0243,0.13,0.31,1P,2,HR,26.033,Ďurech&Hanuš2023,
7887,Bratfest,2,"57,72",55.856,2.3,0.37,1P,2,FD,,,
8049,Janvier,1,70,3.214,0.0086,0.32,2P,2,C,3.2114,Ďurech&Hanuš2023,
8265,1986 RB5,4,"32,49,69,70",89.552,8.5,0.66,2P,2,FD,,,
8450,Egorov,3,"20,70,71",5.306,0.023,0.69,2P,2,FD,,,
8602,Oedicnemus,2,"21,58",5.259,0.023,0.38,1P,2,HR,10.7395,Lam+2023,
9092,Nanyang,2,"31,46",7.226,0.041,0.14,1P,2,HR,14.454,Ďurech+2022a,
9171,Carolyndiane,2,"49,68",7.013,0.041,0.31,1P,2,FD,,,
9214,1995 UC6,3,"43,44,83",2.391,0.0049,0.18,1P,2,FD,,,
10017,Jaotsungi,2,"69,105",12.05,0.14,0.1,1P,2,FD,,,
10226,Seishika,3,"11,46,84",5.06,0.022,0.33,1P,2,HR,10.1278,McNeill+2023,
10292,1986 PM,2,"44,83",2.419,0.007,0.15,1P,2,S,8.9652,Lam+2023,
10451,1975 SE,2,"67,85",5.089,0.022,0.36,1P,2,FD,,,
12315,1992 FA2,2,"42,95",2.781,0.0065,0.28,1P,2,FD,,,
13382,1998 XC4,1,42,1.868,0.0049,0.2,1P,2,FD,,,
13388,1999 AE6,3,"18,36,89",305.594,69.0,0.34,2P,2,HR,152.06,LCDB,sid
14039,1995 KZ1,1,63,2.641,0.0057,0.28,1P,2,FD,,,
14720,2000 CQ85,1,18,108.08,10.0,0.68,2P,2,C,108.144,Hanuš+2021;Ďurech+2022a,
15315,Sundin,2,"1,95",12.942,0.19,0.6,2P,2,C,12.9424,Cellino+2024;Gowanlock+2,
15427,Shabas,4,"55,70,71,91",39.45,1.4,0.23,1P,2,FD,,,
15991,1998 YH3,3,"70,71,90",61.02,4.6,0.6,2P,2,C,61.1371,Lam+2023;Ďurech&Hanuš202,
16513,Vasks,3,"35,70,88",12.52,0.13,0.08,1P,2,S,26.333,LCDB,
18067,2000 AB98,2,"32,50",4.773,0.019,0.12,1P,2,S,3.998,Cellino+2024,
18070,2000 AC205,2,"19,91",111.7,9.6,0.48,2P,2,FD,,,sid
19013,2000 RN76,1,27,4.437,0.055,0.19,1P,2,FD,,,
19144,1989 UP1,2,"42,43",5.2896,0.024,0.13,1P,2,FD,,,
19169,1991 FD,4,"4,25,42,81",87.546,6.2,0.62,2P,2,C,88.2365,McNeill+2023,sid
19290,Schroeder,2,"43,44",65.015,3.6,0.66,2P,2,FD,,,sid
22719,Nakadori,1,44,4.777,0.021,0.26,2P,2,FD,,,
22790,1999 KP4,2,"29,51",19.262,0.36,0.56,2P,2,FD,,,
24417,2000 BK5,3,"70,71,91",3.783,0.012,0.24,1P,2,C,3.7828,Ďurech+2022a,
29909,1999 JE8,3,"54,70,71",14.38,0.17,0.42,2P,2,C,14.3833,Cellino+2024;Ďurech&Hanuš2023,
29931,1999 JL44,1,36,2.2917,0.0063,,1P,2,HR,4.6187,Lam+2023;Ďurech+2022a,
30482,2000 OG45,2,"38,100",4.335,0.015,0.23,1P,2,FD,,,
30968,1995 AM1,2,"3,4",4.151,0.018,0.18,1P,2,A,412.3283,Eglitis+2023;McNeill+202,
32253,2000 OP51,2,"37,100",6.938,0.043,0.49,2P,2,C,6.9401,Ďurech&Hanuš2023;Ďurech+,
33717,1999 LS26,4,"29,44,45,46",50.31,2.2,0.4,2P,2,A,60.8513,Lam+2023;Ďurech+2022a,
50545,2000 ER17,2,"21,58",3.182,0.011,0.17,2P,2,FD,,,
